species;MPIAM10_1_S_Jena14;MPIAM1_2_S_MBCF11;MPIAM1_3_S_Jena148;MPIAM1_4_S_MBCF18;MPIAM2_1_S_MBCF48;MPIAM2_3_S_MBCF127;MPIAM3_1_S_MBCF66;MPIAM4_1_S_MBCF37;MPIAM4_2_S_MBCF58;MPIAM4_3_S_MBCF70;MPIAM5_1_S_MBCF10;MPIAM5_5_S_MBCF73;MPIAM5_6_S_Jena17;MPIAM6_2_S_Jena23;MPIAM7_1_S_MBCF9;MPIAM7_2_S_MBCF16;MPIAM7_3_S_MBCF27;MPIAM7_4_S_MBCF45;MPIAM7_5_S_MBCF63;MPIAM7_6_S_Jena13;MPIAM7_7_S_Jena22;MPIAM8_1_S_Jena24;MPIAM9_1_S_Jena29;MPIAW10_1_S_Jena98;MPIAW10_2_S_Jena147B;MPIAW12_1_S_MBCF129;MPIAW2_1_S_MBCF64;MPIAW4_1_S_MBCF61;MPIAW8_1_S_Jena110;MPIBM1_1_S_MBCF19;MPIBM1_3_S_MBCF49;MPIBM1_4_S_MBCF55;MPIBM5_1_S_Jena165;MPIBM6_1_S_Jena25;MPIBM6_2_S_Jena112;MPIBW1_1_S_MBCF59;MPIBW1_2_S_MBCF65;MPICM1_3_S_MBCF36;MPICM2_1_S_MBCF41;MPICM3_1_S_Jena164;MPICM4_1_S_Jena30;MPICM5_1_S_Jena111;MPICM6_1_S_MBCF54;MPICW1_1_S_MBCF50;MPICW1_2_S_Jena27;MPICW2_3_S_MBCF32;MPICW3_1_S_MBCF29;MPICW4_1_S_MBCF46;MPICW4_2_S_Jena21;MPICW4_3_S_Jena101;MPICW5_1_S_MBCF53;MPICW6_1_S_Jena16;MPICW7_1_S_Jena100;MPSAM1_2_S_MBCF15;MPSAM1_3_S_MBCF38;MPSAM1_4_S_MBCF51;MPSAM1_5_S_MBCF62;MPSAM1_7_S_Jena20;MPSAM5_2_S_Jena26;MPSAW1_4_S_MBCF17;MPSAW2_3_S_MBCF44;MPSAW2_4_S_MBCF52;MPSAW2_5_S_MBCF57;MPSAW2_6_S_MBCF69;MPSAW2_7_S_Jena11;MPSAW2_8_S_Jena19;MPSBM2_1_S_MBCF33;MPSBM4_1_S_MBCF60;MPSBM4_2_S_Jena99;MPSBW1_1_S_MBCF21;MPSBW1_3_S_MBCF42;MPSBW2_1_S_MBCF67;MPSBW2_2_S_Jena31;MPSCM3_1_S_Jena28;MPSCW1_3_S_MBCF47;MPSCW1_4_S_Jena146B;MPSCW2_1_S_MBCF68
Streptococcus equinus;122.09753;4912.68672;11378.94188;9623.32896;0;0;0;0;0;0;2085.68896;3280.27438;1088.17641;0;12292.54103;720.04764;0;0;6418.39851;976.01943;1453.77129;1310.4167;88446.4233;0;0;0;0;0;8332.89146;0;0;0;522.25746;887.48323;506.83734;0;0;13450.9637;1158.30914;7559.75897;708.1735;0;0;0;657.64172;0;161.41614;602.82866;7420.47491;6232.99286;10410.98442;10468.05349;570.36058;38000;34308.10498;99849.74288;41061.7145;12085.78638;31786.03006;63105.75718;0;0;0;0;0;0;0;3611.6045;2309.40821;20195.94745;30415.43027;0;0;15126.12415;0;0;1226.506
Streptococcus oralis;561.24802;11887.07281;6112.77839;1195.06398;0;362.01283;0;0;14643.94283;18842.82864;2589.10939;670.79704;2612.78142;0;56466.31039;12216.33816;0;1317.71596;681.36273;1653.14097;4240.01856;1685.03737;15998.45984;5244.83876;368.10757;1723.42427;12589.41345;0;9571.95821;0;7030.5794;0;0;653.86021;315.83602;0;0;1743.50683;307.59126;1035.04084;1661.53698;1246.94047;0;0;0;0;4457.42618;2779.59718;2161.04774;1328.54278;4117.06116;535.19603;0;23775.89454;22243.27186;64730.23257;45017.38698;68760.58095;3918.40558;1493.16577;0;0;0;0;1263.57792;8998.73257;0;481.95953;548.08666;54859.2546;23431.26587;0;0;2955.71081;0;131.88538;850.35531
Streptococcus constellatus;0;0;594.12799;244.01101;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1507.49167;0;0;0;0;0;0;11378.30079;0;0;0;1064.14165;0;0;0;0;0;0;129.50704;0;0;0;0;0;0;0;3637.41818;0;0;999.4437;1664.70858;785.95982;0;1319.49927;1426.22052;0;0;0;0;0;2234.96518;0;0;1968.70268;631.94119;0;0;673.24504;0;0;171184.0629;311082.1513;4957.20064;0;0;0
Veillonella atypica;3110.04785;7876.53194;26917.52526;11209.23472;0;4009.09729;0;0;0;0;0;519.61777;0;1599.08624;0;0;0;0;714.47903;0;0;3324.43623;18636.39466;0;0;123.33194;17518.85566;2645.78593;32506.70419;0;0;0;0;5524.73461;553.35496;0;581.4433;2071.44349;1036.86994;12448.14164;3932.4438;511.95627;0;0;0;0;122.97935;0;6762.47897;0;9971.39735;32708.35077;663.17063;6475.3004;4593.09982;4666.06563;3681.7883;7033.3558;87628.51099;59851.80195;0;0;0;0;0;768.5564;0;4715.39134;1203.32651;20887.53438;12401.4173;0;0;11050.58138;1602.80728;281.70348;11266.43119
Streptococcus gordonii;639.84916;0;464.77782;3299.16271;193466.7256;0;0;0;322.57273;0;79.38341;755.97092;1216.17152;0;960.89684;0;0;0;357.37989;531.73242;304.5242;456.72417;317.57612;0;0;19.67036;1113.7278;0;1550.21287;0;11769.9115;0;0;1113.54542;790.41736;0;0;3413.23056;186.42513;477.90046;0;0;23710.16298;0;0;0;248.04482;0;0;0;3352.65976;770.20922;0;0;3144.87281;1603.27916;1780.80978;0;737.75056;1106.13718;0;2282.99755;0;0;3646.9658;12952.03969;0;0;0;16497.2306;19351.01337;0;0;422.67529;0;0;153.76866
Veillonella dispar;691.01165;1625.70888;14554.00205;2578.87947;0;2608.06416;0;0;330.90668;10527.12542;141.53381;1805.95664;551.7909;24799.70188;259.86298;263.56287;471.4746;0;781.43625;363.76176;155.01657;1592.59135;11462.67062;0;0;1832.30417;15029.01945;0;30283.26403;0;379.72799;0;0;1236.28438;233.78597;0;0;2448.01807;0;7303.39818;1079.04866;0;0;0;0;0;0;0;3640.82999;693.8673;5567.29264;21890.4748;0;15094.7506;6181.36825;9716.69686;6379.84924;10206.10058;16153.10544;31422.32079;0;1421.4074;0;0;0;2039.29869;0;2040.31765;2081.7639;3368.49764;12596.4873;10387.27879;0;398.46919;835.42189;88.81749;3378.29783
Streptococcus anginosus;154.42058;1495.77529;8234.65947;3946.39191;0;0;0;0;0;0;0;0;2209.22867;0;0;0;0;0;0;0;0;0;0;0;513.35778;463.3489;3889.95377;0;1234.53237;0;0;0;12702.55832;0;0;0;487.15084;0;920.78553;765.0838;0;0;0;261.42996;874.51995;0;134.96408;51405.08347;893.5627;2384.26471;211.32184;676.36356;0;0;827.76731;843.3351;0;3907.24849;0;0;89093.13725;32106.73398;0;0;16518.08529;4434.16844;0;855.71264;443.54921;0;2031.4629;13518.88668;4749.58137;19065.45616;0;0;0
Parvimonas micra;0;0;0;38.13512;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2599.4117;0;0;0;0;0;0;14180.89603;0;0;0;0;0;0;0;0;0;0;605.35211;122816.616;0;0;0;0;0;0;0;0;0;262.43899;816.03165;94912.25907;0;0;1022.2905;0;7358.14652;0;0;0;0;0;0;5504.40352;1946.3362;0;457.02023;798.47;0;0;0;0;19231.27133;0;0;678.8923
Gemella sanguinis;4918.33431;5220.31427;3243.21222;7922.41245;0;4639.6483;2156.68203;0;0;0;118.23669;3087.70504;412.70467;58774.97256;425.21741;0;1289.71023;0;6648.14757;0;0;11588.62645;0;0;0;0;3593.28134;0;19079.55172;0;0;0;0;991.78677;0;0;0;2388.1642;0;42506.48327;1103.65438;358.24596;0;0;0;0;0;0;28804.04903;8358.00501;1839.85289;2428.29869;0;0;0;0;0;0;3732.90974;0;0;0;0;0;0;0;0;737.78162;1223.20849;10466.31236;3954.13207;0;0;312.44194;3954.06071;303.03858;5952.52245
Proteus mirabilis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;131324.6902;0;0;0;0;0;0;0;115020.0253;66.25389;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
