species;MPIAM10_1_S_Jena14;MPIAM1_2_S_MBCF11;MPIAM1_3_S_Jena148;MPIAM1_4_S_MBCF18;MPIAM2_1_S_MBCF48;MPIAM2_3_S_MBCF127;MPIAM3_1_S_MBCF66;MPIAM4_1_S_MBCF37;MPIAM4_2_S_MBCF58;MPIAM4_3_S_MBCF70;MPIAM5_1_S_MBCF10;MPIAM5_5_S_MBCF73;MPIAM5_6_S_Jena17;MPIAM6_2_S_Jena23;MPIAM7_1_S_MBCF9;MPIAM7_2_S_MBCF16;MPIAM7_3_S_MBCF27;MPIAM7_4_S_MBCF45;MPIAM7_5_S_MBCF63;MPIAM7_6_S_Jena13;MPIAM7_7_S_Jena22;MPIAM8_1_S_Jena24;MPIAM9_1_S_Jena29;MPIAW10_1_S_Jena98;MPIAW10_2_S_Jena147B;MPIAW12_1_S_MBCF129;MPIAW2_1_S_MBCF64;MPIAW4_1_S_MBCF61;MPIAW8_1_S_Jena110;MPIBM1_1_S_MBCF19;MPIBM1_3_S_MBCF49;MPIBM1_4_S_MBCF55;MPIBM5_1_S_Jena165;MPIBM6_1_S_Jena25;MPIBM6_2_S_Jena112;MPIBW1_1_S_MBCF59;MPIBW1_2_S_MBCF65;MPICM1_3_S_MBCF36;MPICM2_1_S_MBCF41;MPICM3_1_S_Jena164;MPICM4_1_S_Jena30;MPICM5_1_S_Jena111;MPICM6_1_S_MBCF54;MPICW1_1_S_MBCF50;MPICW1_2_S_Jena27;MPICW2_3_S_MBCF32;MPICW3_1_S_MBCF29;MPICW4_1_S_MBCF46;MPICW4_2_S_Jena21;MPICW4_3_S_Jena101;MPICW5_1_S_MBCF53;MPICW6_1_S_Jena16;MPICW7_1_S_Jena100;MPSAM1_2_S_MBCF15;MPSAM1_3_S_MBCF38;MPSAM1_4_S_MBCF51;MPSAM1_5_S_MBCF62;MPSAM1_7_S_Jena20;MPSAM5_2_S_Jena26;MPSAW1_4_S_MBCF17;MPSAW2_3_S_MBCF44;MPSAW2_4_S_MBCF52;MPSAW2_5_S_MBCF57;MPSAW2_6_S_MBCF69;MPSAW2_7_S_Jena11;MPSAW2_8_S_Jena19;MPSBM2_1_S_MBCF33;MPSBM4_1_S_MBCF60;MPSBM4_2_S_Jena99;MPSBW1_1_S_MBCF21;MPSBW1_3_S_MBCF42;MPSBW2_1_S_MBCF67;MPSBW2_2_S_Jena31;MPSCM3_1_S_Jena28;MPSCW1_3_S_MBCF47;MPSCW1_4_S_Jena146B;MPSCW2_1_S_MBCF68
Abiotrophia defectiva;1684.42579;0;9069.15229;2160.93481;0;0;0;0;0;17326.05006;194.39884;0;269.41421;11350.05974;2157.68544;665.92269;0;2659.53382;3057.45048;0;1280.13813;0;2860.16949;721.67978;0;0;15802.22211;0;833.19895;0;0;0;0;291.47721;0;0;0;0;0;133.26322;448.69877;892.63484;0;0;0;0;0;0;0;0;809.26883;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;206.75462
Rothia aeria;0;0;436.22022;132.51241;0;253.04036;0;0;1241.64776;2285.30694;0;0;79.88313;0;0;0;0;0;424.57326;0;0;3303.15937;9805.17116;599.01885;0;0;7785.50314;0;4955.79735;0;0;0;3414.71968;202.81171;0;0;0;149.5644;172.27385;75.1824;0;791.09886;0;0;0;0;0;1043.8284;0;0;460.70991;0;0;0;4536.25632;1541.31812;8231.84484;0;1137.88487;1195.96118;0;0;0;0;1262.21328;4212.47135;0;0;135.22854;2106.01464;0;0;0;1479.22405;0;0;94.48748
Gemella haemolysans;729.68491;596.81197;283.75629;117.76581;0;0;0;0;0;0;213.97768;0;424.58943;0;0;0;0;0;3260.45821;128.36814;0;13985.46057;0;0;395.11308;0;0;0;3635.68858;0;2048.44253;0;0;1055.13112;0;0;0;125.04689;0;432.47629;0;0;0;0;0;0;203.00007;0;0;282.50988;11105.11279;593.23136;0;0;3036.8272;0;0;0;0;635.663;0;0;0;0;0;0;0;0;0;15807.148;0;0;0;1693.36673;0;0;1304.09369
Bifidobacterium longum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;375.22054;0;0;0;0;0;0;0;0;0;0;0;0;0;0;475.87994;1178.7927;0;0;0;0;0;342.27992;0;0;0;0;0;0;0;0;0;0;57587.50544;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;846.24309;1101.89946;0;0;0;0;0;0
Lactobacillus salivarius;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;59563.543;0;0;0;0;0;0;750.23002;0;0;0;0;0;0;0;0;0
Fusobacterium nucleatum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;383.12302;674.13782;0;0;0;2844.96431;0;6544.89336;0;0;0;1372.43647;0;0;0;0;171.28311;0;584.47811;0;0;0;0;0;0;0;0;0;0;0;16076.91967;18057.28518;0;0;109.59514;0;2223.11396;0;0;0;0;0;0;953.47444;526.25717;0;472.79215;375.63052;0;0;0;0;6893.18356;0;0;1927.40323
Prevotella denticola;86.24375;0;538.88011;35.3818;0;265.64882;0;0;0;0;0;0;0;1305.08338;0;0;0;0;202.34028;98.60273;0;133.95443;776.61179;0;0;0;6604.05048;0;1277.20139;0;0;0;0;173.30788;415.56691;0;0;99.00193;1423.96286;854.75662;0;0;0;0;0;0;0;1596.79004;220.53661;0;807.59351;526.09138;0;0;0;535.85861;0;1069.32811;752.89709;1036.62751;0;1365.73232;0;0;1208.33641;11095.08008;0;490.84346;329.69215;0;0;3216.26617;4824.64831;8122.79216;0;0;6815.13299
Capnocytophaga gingivalis;168.41158;0;328.78603;60.70048;0;0;0;0;0;4355.64054;0;0;236.26698;0;849.29044;178.08617;0;0;2028.7622;0;0;0;2117.16648;339.06287;0;0;1921.17853;0;509.6998;0;0;0;467.70067;180.75075;0;0;0;220.9344;0;2884.80517;0;268.62774;0;0;0;0;0;0;0;0;0;0;0;5441.84535;3514.03306;10593.35942;16015.35719;0;0;290.54175;0;0;0;0;1598.47036;1638.15537;0;0;0;0;0;0;0;536.59423;0;0;0
Leptotrichia buccalis;192.10322;0;830.24866;26.60717;0;3114.62929;0;0;0;0;0;0;0;0;0;0;0;0;268.36479;0;0;263.12006;187.34826;0;0;12.62533;2784.456;0;1546.21924;0;0;0;0;0;0;0;0;84.66589;0;0;0;0;0;0;0;0;0;0;0;0;2425.61545;0;0;0;982.64873;4804.07262;6109.4009;1974.80181;0;22980.13586;0;0;0;0;0;0;0;0;0;4809.79449;0;0;0;327.34836;0;0;526.72188
Streptococcus pneumoniae;256.92002;717.22001;1400.75407;794.66105;0;47.94581;0;0;203.23683;1125.28886;154.06286;0;175.88026;0;2357.46664;313.65889;0;588.77467;791.48826;188.53736;163.54758;1046.70812;617.32435;0;0;17.84628;932.71485;0;2176.73566;0;1257.05116;0;0;228.24326;0;0;0;162.87015;261.94894;620.92306;0;0;0;0;0;0;229.90722;0;384.51197;246.15618;1097.46905;289.82664;0;0;5611.11111;1504.22701;6421.68783;3892.74754;1735.76718;1224.31004;0;0;0;0;0;0;0;0;581.40581;11082.60281;0;0;0;971.7054;0;0;360.24867
Tannerella forsythia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;248.77229;0;0;0;0;0;605.51748;0;0;0;0;677.56544;0;0;0;0;0;0;0;0;0;0;38.91166;24367.95528;2823.34462;0;0;154.29561;0;8793.68658;0;0;0;0;0;0;0;0;0;0;1178.68768;0;0;0;0;10509.99679;0;0;2570.25594
Neisseria mucosa;510.40999;0;7682.90424;0;0;0;0;0;0;5992.90365;0;0;0;0;0;0;0;0;420.97206;0;0;263.59689;11614.91314;0;0;0;9372.45945;0;1102.65784;0;260.44124;0;0;731.49127;0;0;0;0;0;0;0;661.03039;0;0;0;0;0;0;0;0;0;0;0;0;0;237.82284;4998.25236;4200.1003;2269.89822;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;118.54125
Actinomyces oris;152.76129;1602.02764;1769.10172;82.08091;0;903.90227;0;259.94374;301.03947;788.3847;0;0;69.18297;0;1331.79186;509.46322;222.51158;0;269.05003;0;189.14098;0;0;0;0;0;563.15081;0;1063.04124;0;3643.2074;0;0;185.60636;0;0;0;0;0;46.03137;0;0;0;0;0;0;94.79721;2495.38867;553.74157;0;0;440.12133;0;0;11286.85173;87.59236;19557.43157;1370.72723;0;208.4897;0;0;0;0;0;0;0;174.24194;117.59894;0;0;0;0;0;0;0;54.22613
Atopobium parvulum;0;0;0;0;0;94.8907;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2087.40575;0;5804.79635;0;0;0;0;0;0;0;0;6106.56365;0;154.71893;0;0;0;0;0;0;0;0;549.49191;0;900.6861;12495.78731;0;7437.27599;897.78029;4430.83887;0;0;2026.80399;932.85115;0;0;0;0;0;0;0;0;0;1406.6241;3006.5961;0;0;1248.05912;0;0;321.9073
Streptococcus agalactiae;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48300.12052;0;0;0;0;0;0;0;0;0;0;0
Escherichia coli;0;0;0;0;0;0;42669.61547;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37.57433;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;215.3428;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Actinomyces naeslundii;127.52514;1079.2572;1621.30077;77.59817;0;778.22865;0;201.35424;271.1564;631.91717;0;0;67.40072;0;1093.52224;399.03444;194.64881;0;225.00507;0;149.44208;0;0;0;0;0;368.65053;0;854.02041;0;2794.24217;0;0;168.75098;0;0;0;0;0;0;0;0;0;0;0;0;75.89933;2492.15433;467.24061;0;0;360.62187;0;0;9149.31802;77.20278;15137.93766;1107.79474;0;200.31299;0;0;0;0;0;0;0;0;107.45948;0;0;0;0;0;0;0;0
Haemophilus parahaemolyticus;2111.19895;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1212.7277;0;0;0;0;0;0;1223.90967;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33232.55474;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Neisseria subflava;1405.20333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8464.7683;0;0;0;0;1773.19779;0;22636.59195;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;545.1186
Prevotella enoeca;137.81316;0;774.87251;65.05076;0;80.00545;0;0;0;0;0;0;0;2015.27307;0;0;0;0;0;0;0;193.27263;848.35107;0;0;0;1028.24859;0;2989.57973;0;0;0;0;0;0;0;0;362.27592;0;568.86104;0;0;0;0;0;0;0;1499.14535;233.51439;0;1039.41211;644.47482;0;0;0;769.60529;0;1335.69163;0;844.73317;0;1114.20277;0;0;0;306.81986;0;0;606.25008;0;0;4971.537;6848.15405;2016.86019;0;0;455.89612
Streptococcus mutans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;313.91227;0;0;0;0;0;0;0;0;20043.31246;0;0;0;0;0;0;0;0;0;0;0;0;0;1540.31356;0;0;783.76637;1107.05173;1531.68677;1502.27487;0;0;0;0;0;0;0;0;0;0;0;878.78788;0;0;0;435.8274;0;0;0
Capnocytophaga sputigena;184.13831;0;0;0;0;0;0;1525.91052;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1226.39195;0;0;0;1605.384;0;404.35848;0;0;0;1869.24511;0;0;0;0;1086.28478;0;132.82823;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6487.14721;2139.37591;3411.0903;0;0;0;927.0469;0;0;0;2144.46064;0;0;0;0;0;0;0;508.21533;0;0;0
Aspergillusfumigatus;0;0;0;0;0;11577.38566;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1768.73105;1222.83505;11.34673;0;0;0;0;0;0;7613.415;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Capnocytophaga leadbetteri;200.59298;0;310.94271;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;232.18609;636.24727;0;0;0;0;0;1067.73293;0;0;0;0;0;0;0;0;0;0;1571.55306;0;0;0;0;0;0;0;0;0;0;0;0;0;0;636.33194;489.45945;1041.4238;0;0;0;0;0;0;7404.98034;4647.13022;3428.76487;0;0;0;0;0;0;0;0;0;0;108.53555
Lactobacillus rhamnosus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;316.4557;0;0;0;0;0;0;0;0;0;0;0;0;0;111.53305;0;0;333.529;142.11274;423.44035;0;5139.5996;0;3421.81986;315.9615;866.09126;0;0;0;0;8190.32761;214.48398;0;0;960.87852;0;0;0;0;0;0;0;0;0;0;0;0
Fusobacterium hwasookii;135.37947;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;190.06959;0;0;0;0;1231.27528;0;2885.98979;0;0;0;325.25271;0;0;0;0;31.45776;0;854.35783;0;0;0;0;0;0;0;0;0;0;0;3201.19528;5003.7228;0;0;44.52467;0;0;0;0;0;0;0;0;2390.65228;1123.70774;0;0;0;0;0;0;0;850.94668;0;0;491.57753
Pseudopropionibacterium propionicum;0;0;125.56992;0;1095.9097;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;223.20285;126.41316;955.19206;0;0;0;1987.1895;0;1325.33771;0;0;0;154.61544;0;0;0;0;0;0;0;0;374.27976;0;0;0;0;0;0;0;0;0;695.51907;0;0;1363.66513;53.76519;1043.78244;1366.0511;0;1131.11769;0;0;0;0;2634.06344;2148.53692;0;0;0;0;0;0;0;0;0;0;0
Gemella morbillorum;513.78555;0;1758.91046;110.37871;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1374.63891;0;0;0;0;0;0;537.93359;0;0;0;0;254.81124;0;0;0;77.95815;0;0;0;0;0;0;0;0;0;0;0;0;529.56022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;268.85834;0;0;0;0;10159.26065;0;0;0
Fusobacterium periodonticum;1139.99088;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1599.96172;0;0;0;0;0;0;9817.56071;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;554.93414;1405.03949;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;182.95264;0;0;790.51729
Neisseria bacilliformis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;323.08652;0;0;0;0;0;0;0;0;0;0;0;0;0;6243.15923;2798.04981;6097.27535;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prevotella fusca;0;0;0;63.98409;0;173.96497;0;0;0;0;0;0;0;1436.8312;0;0;0;0;0;0;0;0;0;0;0;0;0;0;917.76247;0;0;0;0;0;0;0;0;67.09412;0;109.67919;0;0;0;0;0;0;0;824.52524;459.23313;0;514.41831;430.03499;0;0;0;1011.44987;0;0;747.05915;1519.88341;0;1785.34397;0;0;0;0;0;0;0;0;0;0;3793.90852;876.29037;0;0;251.64846
Streptococcus cristatus;0;0;642.70756;909.35591;1178.9601;87.36963;0;0;0;0;0;0;0;0;912.11348;0;0;0;429.31937;0;0;506.42129;0;0;0;24.50933;1257.86164;0;708.81915;0;0;0;0;0;0;0;0;260.49801;0;534.12259;0;0;0;0;0;0;0;0;0;0;792.17448;0;0;0;1640.51355;1536.6277;0;0;756.53043;0;0;0;0;0;0;0;0;0;0;1804.58696;0;0;0;266.30027;0;0;0
Eubacterium sulci;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4538.55399;0;0;0;0;0;0;0;0;132.83788;0;0;0;0;0;0;0;0;0;0;0;0;0;7067.04777;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1416.68142;0;0;0;280.85478;0;0;437.49512
Stenotrophomonas rhizophila;0;0;0;0;0;0;0;0;2122.07549;1409.03333;0;0;0;0;0;0;0;0;0;0;0;0;0;3494.2214;1426.27154;0;1321.97038;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;744.78649;468.43107;1284.37506;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cryptobacterium curtum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10250.72956;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saccharomyces cerevisiae;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9987.75603;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Actinomyces meyeri;0;0;0;0;0;170.98199;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;131.67741;0;0;0;0;0;0;0;0;0;0;82.63386;0;0;0;0;0;0;0;0;647.07886;0;0;0;0;0;0;0;0;315.10412;0;0;7445.68098;0;573.06166;0;0;0
Campylobacter concisus;0;563.76981;359.3326;810.23044;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;195.22139;0;0;0;0;0;0;536.19303;0;0;0;0;0;0;0;0;34.99726;0;1246.6409;0;0;0;0;0;0;0;0;0;0;1226.5344;1013.25971;0;0;0;1498.21646;0;0;0;0;0;0;0;0;0;0;0;0;0;870.60943;0;0;0;0;0;0;115.41445
Stenotrophomonas acidaminiphila;0;0;0;0;0;0;0;0;1028.00818;611.1796;0;0;0;0;0;0;0;0;0;0;0;0;0;1487.52322;601.33091;0;1151.1316;0;0;0;0;0;0;0;96.66939;0;0;0;0;0;0;0;0;0;0;0;0;685.90029;438.75968;1186.439;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Klebsiella pneumoniae;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1824.31681;5113.88196;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lactobacillus fermentum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;265.35672;0;0;0;0;0;0;0;0;0;0;0;0;874.10779;0;0;0;0;0;5675.91966;0;0;0;0;0;0
Lautropia mirabilis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;930.99113;0;926.13469;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3119.49824;0;0;0;0;0;0;0;0;0;0;0;0;679.40869;0;0;0;0;0;0
Dialister pneumosintes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5501.30984;0;0;0
Stenotrophomonas nitritireducens;0;0;0;0;0;0;0;0;468.64248;339.38815;0;0;0;0;0;0;0;0;0;0;0;0;0;840.3114;325.22297;0;1860.46512;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;247.16205;182.30199;474.76194;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Neisseria elongata;305.56261;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;175.94847;0;0;0;0;959.97708;0;497.31838;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;188.38298;2319.76544;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Filifactor alocis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;851.13278;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3301.3309;0;0;0
Neisseria cinerea;254.81075;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;222.42423;0;0;0;0;0;0;3454.58911;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Parascardovia denticolens;0;0;0;0;0;114.00224;0;0;0;0;0;0;0;2127.65957;0;0;0;634.23781;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;549.64757;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Escherichia fergusonii;0;0;0;0;0;0;2987.65967;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Campylobacter curvus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2941.40648;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Candida dubliniensis;0;2774.83068;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bifidobacterium breve;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1894.29063;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pseudomonas soli;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46.98231;98.38795;0;0;60.47681;199.34914;0;0;0;0;0;0;0;0;0;0;0;0;166.83564;119.96541;211.5231;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;444.65369;0;0;0;0;0;0;0;0;262.46719;0
Prevotella intermedia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;378.67957;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1175.4856
Xanthomonas sacchari;0;0;0;0;0;0;0;0;321.69558;0;0;0;0;0;0;0;0;0;0;0;0;0;0;579.59815;237.13303;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;84.61986;208.33144;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Campylobacter gracilis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;661.31318;0;282.09765;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;373.2259;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Candidaalbicans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1242.78836;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Delftia tsuruhatensis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;145.29821;219.77541;209.58326;0;0;124.94555;0;0;0;0;0;0;0;0;0;0;0;0;173.83165;100.93302;237.10965;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pseudomonas putida;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;139.24976;219.27402;171.71157;0;122.24467;322.897;0;0;0;72.48689;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56.86221;65.00256
Pseudomonas balearica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;849.79384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;304.21426;0;0;0;0;0;0;0;0;0;0
Escherichia albertii;0;0;0;0;0;0;1147.96817;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Staphylococcus haemolyticus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;392.63189;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;732.9816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Xanthomonas translucens;0;0;0;0;0;0;0;0;277.62682;0;0;0;0;0;0;0;0;0;0;0;0;0;0;508.49196;177.83632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;161.46828;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Selenomonas sputigena;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;760.39926;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;186.65974;0;0;75.58293
